datetime;cpu_percent;gpu_percent;cpu_temperature;gpu_temperature;motivo_chamado;id_empresa;mac_address
2025-11-05 21:02:59;28.3;18.33;46.49;47.92;Uso de CPU (%) abaixo do esperado (valor: 28,30, parâmetro: 35) | Uso de GPU (%) abaixo do esperado (valor: 18,33, parâmetro: 20) | Temperatura da GPU (°C) acima do esperado (valor: 47,92, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-05 21:03:16;16.6;12.78;41.01;43.65;Uso de CPU (%) abaixo do esperado (valor: 16,60, parâmetro: 35) | Uso de GPU (%) abaixo do esperado (valor: 12,78, parâmetro: 20) | Temperatura da CPU (°C) abaixo do esperado (valor: 41,01, parâmetro: 48);1;f4:6a:dd:7b:03:0d
2025-11-05 21:03:34;17.2;10.21;39.21;41.06;Uso de CPU (%) abaixo do esperado (valor: 17,20, parâmetro: 35) | Uso de GPU (%) abaixo do esperado (valor: 10,21, parâmetro: 20) | Temperatura da CPU (°C) abaixo do esperado (valor: 39,21, parâmetro: 48);1;f4:6a:dd:7b:03:0d
2025-11-05 21:03:44;19.0;0.0;40.46;54.24;Uso de CPU (%) abaixo do esperado (valor: 19,00, parâmetro: 35) | Uso de GPU (%) abaixo do esperado (valor: 0,00, parâmetro: 20) | Temperatura da CPU (°C) abaixo do esperado (valor: 40,46, parâmetro: 48) | Temperatura da GPU (°C) acima do esperado (valor: 54,24, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-05 21:03:55;25.2;;46.0;48.64;Uso de CPU (%) abaixo do esperado (valor: 25,20, parâmetro: 35) | Temperatura da GPU (°C) acima do esperado (valor: 48,64, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-08 13:12:49;32.1;43.55;50.35;56.32;Uso de CPU (%) abaixo do esperado (valor: 32,10, parâmetro: 35) | Uso de GPU (%) acima do parâmetro (valor: 43,55, parâmetro: 20) - Atenção | Temperatura da GPU (°C) acima do esperado (valor: 56,32, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-08 13:12:58;51.9;40.56;62.46;55.97;Uso de CPU (%) acima do parâmetro (valor: 51,90, parâmetro: 35) - Atenção | Uso de GPU (%) acima do parâmetro (valor: 40,56, parâmetro: 20) - Atenção | Temperatura da CPU (°C) acima do esperado (valor: 62,46, parâmetro: 48) | Temperatura da GPU (°C) acima do esperado (valor: 55,97, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-08 13:13:08;55.7;55.03;63.65;63.53;Uso de CPU (%) acima do parâmetro (valor: 55,70, parâmetro: 35) - Atenção | Uso de GPU (%) acima do parâmetro (valor: 55,03, parâmetro: 20) - Atenção | Temperatura da CPU (°C) acima do esperado (valor: 63,65, parâmetro: 48) | Temperatura da GPU (°C) acima do esperado (valor: 63,53, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-08 13:13:21;82.4;83.11;78.15;78.08;Uso de CPU (%) acima do parâmetro (valor: 82,40, parâmetro: 35) - Atenção | Uso de GPU (%) acima do parâmetro (valor: 83,11, parâmetro: 20) - Atenção | Temperatura da CPU (°C) acima do esperado (valor: 78,15, parâmetro: 48) | Temperatura da GPU (°C) acima do esperado (valor: 78,08, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-08 13:13:34;51.4;51.23;61.36;65.27;Uso de CPU (%) acima do parâmetro (valor: 51,40, parâmetro: 35) - Atenção | Uso de GPU (%) acima do parâmetro (valor: 51,23, parâmetro: 20) - Atenção | Temperatura da CPU (°C) acima do esperado (valor: 61,36, parâmetro: 48) | Temperatura da GPU (°C) acima do esperado (valor: 65,27, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-08 13:13:44;65.8;63.03;70.82;71.59;Uso de CPU (%) acima do parâmetro (valor: 65,80, parâmetro: 35) - Atenção | Uso de GPU (%) acima do parâmetro (valor: 63,03, parâmetro: 20) - Atenção | Temperatura da CPU (°C) acima do esperado (valor: 70,82, parâmetro: 48) | Temperatura da GPU (°C) acima do esperado (valor: 71,59, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-08 13:13:54;37.2;35.06;52.1;56.56;Uso de CPU (%) acima do parâmetro (valor: 37,20, parâmetro: 35) - Atenção | Uso de GPU (%) acima do parâmetro (valor: 35,06, parâmetro: 20) - Atenção | Temperatura da CPU (°C) acima do esperado (valor: 52,10, parâmetro: 48) | Temperatura da GPU (°C) acima do esperado (valor: 56,56, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-08 13:14:09;99.3;91.6;88.69;83.85;Uso de CPU (%) acima do parâmetro (valor: 99,30, parâmetro: 35) - Atenção | Uso de GPU (%) acima do parâmetro (valor: 91,60, parâmetro: 20) - Atenção | Temperatura da CPU (°C) acima do esperado (valor: 88,69, parâmetro: 48) | Temperatura da GPU (°C) acima do esperado (valor: 83,85, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-08 13:14:21;70.3;70.22;74.15;73.6;Uso de CPU (%) acima do parâmetro (valor: 70,30, parâmetro: 35) - Atenção | Uso de GPU (%) acima do parâmetro (valor: 70,22, parâmetro: 20) - Atenção | Temperatura da CPU (°C) acima do esperado (valor: 74,15, parâmetro: 48) | Temperatura da GPU (°C) acima do esperado (valor: 73,60, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-08 13:14:32;35.2;43.12;49.63;59.93;Uso de GPU (%) acima do parâmetro (valor: 43,12, parâmetro: 20) - Atenção | Temperatura da GPU (°C) acima do esperado (valor: 59,93, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-08 13:14:42;83.6;94.61;79.43;85.05;Uso de CPU (%) acima do parâmetro (valor: 83,60, parâmetro: 35) - Atenção | Uso de GPU (%) acima do parâmetro (valor: 94,61, parâmetro: 20) - Atenção | Temperatura da CPU (°C) acima do esperado (valor: 79,43, parâmetro: 48) | Temperatura da GPU (°C) acima do esperado (valor: 85,05, parâmetro: 42);1;f4:6a:dd:7b:03:0d
2025-11-08 13:14:52;48.0;43.94;58.03;58.83;Uso de CPU (%) acima do parâmetro (valor: 48,00, parâmetro: 35) - Atenção | Uso de GPU (%) acima do parâmetro (valor: 43,94, parâmetro: 20) - Atenção | Temperatura da CPU (°C) acima do esperado (valor: 58,03, parâmetro: 48) | Temperatura da GPU (°C) acima do esperado (valor: 58,83, parâmetro: 42);1;f4:6a:dd:7b:03:0d
