id_empresa;datetime;cpu_percent;gpu_percent;cpu_temperature;gpu_temperature;mac_address
1;2025-11-05 21:02:59;28.3;18.33;46.49;47.92;f4:6a:dd:7b:03:0d
1;2025-11-05 21:03:07;0;24.59;48.79;45.64;f4:6a:dd:7b:03:0d
1;2025-11-05 21:03:16;16.6;12.78;41.01;43.65;f4:6a:dd:7b:03:0d
1;2025-11-05 21:03:25; ;57.2;56.35;66.87;f4:6a:dd:7b:03:0d
1;2025-11-05 21:03:34;17.2;10.21;39.21;41.06;f4:6a:dd:7b:03:0d
1;2025-11-05 21:03:44;19.0;0;40.46;54.24;f4:6a:dd:7b:03:0d
1;2025-11-05 21:03:55;25.2; ;46.0;48.64;f4:6a:dd:7b:03:0d
1;2025-11-08 13:12:49;32.1;43.55;50.35;56.32;f4:6a:dd:7b:03:0d
1;2025-11-08 13:12:58;51.9;40.56;62.46;55.97;f4:6a:dd:7b:03:0d
1;2025-11-08 13:13:08;55.7;55.03;63.65;63.53;f4:6a:dd:7b:03:0d
1;2025-11-08 13:13:21;82.4;83.11;78.15;78.08;f4:6a:dd:7b:03:0d
1;2025-11-08 13:13:34;51.4;51.23;61.36;65.27;f4:6a:dd:7b:03:0d
1;2025-11-08 13:13:44;65.8;63.03;70.82;71.59;f4:6a:dd:7b:03:0d
1;2025-11-08 13:13:54;37.2;35.06;52.1;56.56;f4:6a:dd:7b:03:0d
1;2025-11-08 13:14:09;99.3;91.6;88.69;83.85;f4:6a:dd:7b:03:0d
1;2025-11-08 13:14:21;70.3;70.22;74.15;73.6;f4:6a:dd:7b:03:0d
1;2025-11-08 13:14:32;35.2;43.12;49.63;59.93;f4:6a:dd:7b:03:0d
1;2025-11-08 13:14:42;83.6;94.61;79.43;85.05;f4:6a:dd:7b:03:0d
1;2025-11-08 13:14:52;48.0;43.94;58.03;58.83;f4:6a:dd:7b:03:0d
1;2025-11-08 13:15:02;56.3;69.59;65.39;73.88;f4:6a:dd:7b:03:0d
