datetime;cpu_percent;gpu_percent;cpu_temperature;gpu_temperature;id_empresa;mac_address
2025-11-04 00:00:00;15.2;12.5;38;35;1;e8:5c:5f:1e:b4:1d
2025-11-04 03:00:00;22.8;18.1;41;37;1;e8:5c:5f:1e:b4:1d
2025-11-04 06:00:00;35.6;29.4;46;40;1;e8:5c:5f:1e:b4:1d
2025-11-04 09:00:00;27.4;25.1;43;39;1;e8:5c:5f:1e:b4:1d
2025-11-04 12:00:00;19.1;16.3;39;36;1;e8:5c:5f:1e:b4:1d
2025-11-04 15:00:00;42.5;31.8;48;42;1;e8:5c:5f:1e:b4:1d
2025-11-04 18:00:00;38.9;28.4;47;41;1;e8:5c:5f:1e:b4:1d
2025-11-04 21:00:00;24.3;22.6;42;38;1;e8:5c:5f:1e:b4:1d
2025-11-05 00:00:00;33.7;27.9;45;40;1;e8:5c:5f:1e:b4:1d
2025-11-05 03:00:00;29.2;24.8;43;39;1;e8:5c:5f:1e:b4:1d
